aaa,9986575,9222,176,357
aab,9955233,10368,155,248
aac,9917655,7093,33,85
aad,9864597,9642,61,90
aae,9673052,10818,139,319
aaf,9617095,7608,72,176
aag,9875353,9840,36,89
aba,9908805,10097,152,227
abb,9959664,8538,150,223
abc,9974868,8803,188,331
abd,9947762,7975,261,391
abe,9769517,9094,130,194
abf,9988021,8820,237,342
abg,9938129,9389,47,234
aca,9861801,8945,220,379
acb,9774038,8693,508,771
acc,9913984,8571,5,9
acd,9814687,8852,84,115
ace,9868692,9023,86,192
acf,9986277,8738,78,196
acg,9814495,11037,21,98
ada,9926138,10374,5,16
adb,9928074,9153,51,82
adc,9947885,9238,25,80
add,9893090,10260,11,41
ade,9858512,10028,10,22
adf,9976329,9073,111,177
adg,9899978,8314,97,228
aea,9859304,7899,6,16
aeb,9948105,8855,43,102
aec,9866392,8624,95,229
aed,9969831,9303,205,420
aee,9915715,9640,69,262
aef,9679160,9488,163,341
aeg,9997071,8593,330,650
afa,9981837,9027,121,380
afb,9786103,9150,5,6
afc,9835878,9181,126,218
afd,9852013,8238,5,9
afe,9909815,7623,166,299
aff,9931195,9807,111,290
afg,9997501,9990,5,9
aga,9591896,8406,57,101
agb,9917056,10363,90,179
agc,9876682,9447,24,53
agd,9990040,7394,43,98
age,9887575,7258,72,172
agf,9935497,9960,27,56
agg,9920618,9900,147,253
baa,9770697,8832,5,10
bab,9981699,8632,433,833
bac,9991792,9032,173,333
bad,9962090,10747,84,217
bae,9951043,10094,6,20
baf,9871343,9244,26,67
bag,9979621,7915,124,162
bba,9764757,10767,218,383
bbb,9930664,10699,51,189
bbc,9846625,8340,80,285
bbd,9872612,7753,6,14
bbe,9562571,9556,138,285
bbf,9703810,7906,74,158
bbg,9765474,10065,43,101
bca,9799151,9500,56,119
bcb,9772970,9767,42,199
bcc,9930785,8551,71,143
bcd,9940123,9626,118,250
bce,9770745,7732,42,103
bcf,9705420,9045,44,112
bcg,9893544,9040,198,302
bda,9879613,10520,15,47
bdb,9452703,7844,157,331
bdc,9913834,9610,6,12
bdd,9915778,9178,85,281
bde,9945226,8771,216,411
bdf,9891404,10517,256,369
bdg,9737059,9206,118,189
bea,9942437,9443,123,296
beb,9870449,11166,87,159
bec,9578339,8509,175,344
bed,9852970,8668,240,331
bee,9989547,8828,132,285
bef,9940500,9708,142,195
beg,9881943,8710,170,333
bfa,9959787,9786,32,83
bfb,9562249,10179,238,477
bfc,9653223,8883,107,261
bfd,9889616,8458,120,288
bfe,9820823,9039,118,187
bff,9902894,8628,97,277
bfg,9946512,7327,342,481
bga,9974673,9394,99,211
bgb,9991416,8942,10,56
bgc,9563343,8781,133,236
bgd,9939297,9838,75,118
bge,9838433,9684,81,186
bgf,9968411,7443,42,61
bgg,9960733,8927,25,67
caa,9967833,10569,13,49
cab,9869458,8572,24,114
cac,9878868,7918,7,20
cad,9895082,9276,5,8
cae,9947619,8565,72,152
caf,9903629,11701,49,95
cag,9756989,10364,50,141
cba,9871522,7579,14,43
cbb,9761044,8691,251,346
cbc,9680575,7639,236,442
cbd,9660189,9402,269,350
cbe,9959702,7660,93,229
cbf,9986772,7797,147,249
cbg,9450279,9671,49,99
cca,9935404,8614,140,329
ccb,9825716,7380,153,338
ccc,9760385,8737,341,593
ccd,9847179,10026,30,104
cce,9931477,8673,12,30
ccf,9801115,8810,124,179
ccg,9997442,9958,45,113
cda,9899727,10014,24,62
cdb,9936697,7819,179,315
cdc,9798329,7803,405,748
cdd,9998817,9780,22,71
cde,9853464,6990,100,155
cdf,9918171,8222,147,309
cdg,9864165,9299,195,335
cea,9831204,7146,135,210
ceb,9576991,8891,79,116
cec,9949603,9014,114,183
ced,9984412,8577,70,224
cee,9936906,8560,68,175
cef,9951712,7994,59,135
ceg,9967488,9203,27,96
cfa,9986596,8586,111,287
cfb,9910302,7784,56,185
cfc,9936670,7921,105,229
cfd,9984687,9923,29,74
cfe,9642111,8535,21,71
cff,9799456,9578,292,492
cfg,9989540,7934,73,115
cga,9992822,9254,198,304
cgb,9981106,8571,132,305
cgc,9979196,9569,8,17
cgd,9777830,9970,157,222
cge,9995989,8697,115,196
cgf,9933275,9190,39,90
cgg,9935671,7266,235,457
daa,9958958,9699,99,211
dab,9840571,7964,139,268
dac,9969913,8997,223,497
dad,9657106,12124,11,24
dae,9765186,9570,45,99
daf,9924373,10072,43,115
dag,9997496,8319,105,216
dba,9817400,8457,31,56
dbb,9861381,8580,183,281
dbc,9855216,8110,102,209
dbd,9615232,9072,42,136
dbe,9994783,9918,187,331
dbf,9905912,9205,105,253
dbg,9604082,9505,166,331
dca,9905321,9903,160,206
dcb,9905857,7954,43,84
dcc,9281507,6803,23,39
dcd,9532657,10041,308,537
dce,9971208,8380,298,404
dcf,9772401,8935,47,104
dcg,9947347,10611,803,1872
dda,9909393,9891,64,146
ddb,9925907,10153,17,36
ddc,9945396,9606,93,195
ddd,9986127,8244,137,272
dde,9733598,10369,191,303
ddf,9864020,7734,167,355
ddg,9804586,9467,79,119
dea,9930166,8345,135,220
deb,9851404,7468,96,169
dec,9917153,8716,376,633
ded,9574587,7327,314,491
dee,9849248,9023,226,348
def,9774162,9001,197,328
deg,9732010,8868,232,348
dfa,9826557,10162,161,254
dfb,9967345,7877,88,190
dfc,9977687,8659,6,18
dfd,9970423,7729,192,265
dfe,9827242,8218,67,122
dff,9911622,10759,57,122
dfg,9804750,8770,70,142
dga,9792345,7671,302,502
dgb,9772415,10796,160,267
dgc,9941126,8351,5,8
dgd,9940723,6910,83,169
dge,9938239,7865,58,121
dgf,9912402,8792,29,56
dgg,9962257,6401,47,99
eaa,9712177,9126,47,101
eab,9797444,9813,21,34
eac,9994998,8477,83,261
ead,9910307,8128,8,21
eae,9918883,8663,48,115
eaf,9864365,8862,224,358
eag,9954647,9018,265,472
eba,9894459,9214,6,18
ebb,9960476,9590,81,184
ebc,9941348,9229,217,315
ebd,9622314,8449,84,132
ebe,9825035,8977,32,67
ebf,9650204,10939,5,11
ebg,9982178,8877,99,170
eca,9941288,9349,121,174
ecb,9950299,9058,39,148
ecc,9964270,8661,253,430
ecd,9863637,9806,7,27
ece,9947564,9684,25,59
ecf,9959741,9066,186,337
ecg,9872035,9896,22,74
eda,9810356,10195,58,120
edb,9682579,7763,278,457
edc,9789407,7736,337,518
edd,9690658,8939,109,250
ede,9950894,9297,69,135
edf,9999891,9399,374,530
edg,9935506,10374,243,344
eea,9983880,8729,182,334
eeb,9850347,8096,240,410
eec,9304312,8240,191,357
eed,9782497,7593,200,403
eee,9575951,10258,9,35
eef,9847559,9520,213,389
eeg,9855708,9036,85,153
efa,9921366,9814,36,51
efb,9857583,8049,314,521
efc,9870489,9511,69,93
efd,9791565,8719,186,301
efe,9975723,9589,172,356
eff,9939030,8213,8,23
